,precision,recall,f1-score,support
A.Not at all,0.6486486486486487,0.7058823529411765,0.676056338028169,68.0
B.Slightly,0.2222222222222222,0.26666666666666666,0.2424242424242424,30.0
C.Moderately,0.2962962962962963,0.25806451612903225,0.27586206896551724,31.0
D.Very,0.3333333333333333,0.22727272727272727,0.27027027027027023,22.0
E.Extremely,0.18181818181818182,0.16666666666666666,0.17391304347826086,12.0
accuracy,0.43558282208588955,0.43558282208588955,0.43558282208588955,0.43558282208588955
macro avg,0.3364637364637365,0.3249105859352539,0.3277051926332919,163.0
weighted avg,0.4262276777614201,0.43558282208588955,0.42839990714269244,163.0
