,precision,recall,f1-score,support
concerned,0.3333333333333333,0.2857142857142857,0.30769230769230765,21.0
not concerned,0.896551724137931,0.9154929577464789,0.9059233449477352,142.0
accuracy,0.8343558282208589,0.8343558282208589,0.8343558282208589,0.8343558282208589
macro avg,0.6149425287356322,0.6006036217303823,0.6068078263200214,163.0
weighted avg,0.8239898455680136,0.8343558282208589,0.8288506346264837,163.0
