,precision,recall,f1-score,support
A.Not at all,0.6495726495726496,0.8837209302325582,0.7487684729064039,86.0
B.Slightly,0.46153846153846156,0.25,0.32432432432432434,48.0
C.Moderately,0.16666666666666666,0.11764705882352941,0.13793103448275862,17.0
D.Very,0.25,0.14285714285714285,0.18181818181818182,7.0
E.Extremely,0.0,0.0,0.0,5.0
accuracy,0.558282208588957,0.558282208588957,0.558282208588957,0.558282208588957
macro avg,0.3055555555555556,0.2788450263826461,0.27856840270633376,163.0
weighted avg,0.5067510880394316,0.558282208588957,0.5127558962972543,163.0
