,precision,recall,f1-score,support
concerned,0.3333333333333333,0.058823529411764705,0.1,17.0
not concerned,0.9,0.9863013698630136,0.9411764705882354,146.0
accuracy,0.8895705521472392,0.8895705521472392,0.8895705521472392,0.8895705521472392
macro avg,0.6166666666666667,0.5225624496373892,0.5205882352941177,163.0
weighted avg,0.8408997955010225,0.8895705521472392,0.8534464092385421,163.0
