,precision,recall,f1-score,support
concerned,0.4444444444444444,0.3076923076923077,0.3636363636363637,26.0
not concerned,0.8758620689655172,0.927007299270073,0.9007092198581559,137.0
accuracy,0.8282208588957055,0.8282208588957055,0.8282208588957055,0.8282208588957055
macro avg,0.6601532567049808,0.6173498034811904,0.6321727917472598,163.0
weighted avg,0.8070469877535669,0.8282208588957055,0.8150411569025325,163.0
