,precision,recall,f1-score,support
A.Not at all,0.6730769230769231,0.9813084112149533,0.7984790874524715,107.0
B.Slightly,1.0,0.03125,0.06060606060606061,32.0
C.Moderately,0.0,0.0,0.0,15.0
D.Very,0.0,0.0,0.0,4.0
E.Extremely,0.0,0.0,0.0,5.0
accuracy,0.6503067484662577,0.6503067484662577,0.6503067484662577,0.6503067484662577
macro avg,0.33461538461538465,0.20251168224299065,0.17181702961170645,163.0
weighted avg,0.6381547899952809,0.6503067484662577,0.5360531061153889,163.0
