,precision,recall,f1-score,support
concerned,0.6885245901639344,0.65625,0.672,64.0
not concerned,0.7843137254901961,0.8080808080808081,0.7960199004975124,99.0
accuracy,0.7484662576687117,0.7484662576687117,0.7484662576687117,0.7484662576687117
macro avg,0.7364191578270652,0.732165404040404,0.7340099502487563,163.0
weighted avg,0.7467032674479829,0.7484662576687117,0.7473249702408203,163.0
